Date,Open,High,Low,Close,Volume
2010-02-11,10052717.3633,10150158.8887,9533029.2282,9616729.0,0.0
2010-02-12,9902807.346,9910302.8479,9488056.2372,9536777.0,0.0
2010-02-16,9329401.2821,9485557.5703,9169497.243,9198230.0,0.0
2010-02-17,9075804.7572,9211973.0599,9030831.7399,9057066.0,0.0
2010-02-18,9045820.2733,9088294.7781,8813459.747,8839694.0,0.0
2010-02-19,8919647.2643,8992103.7827,8744752.2199,8863431.0,0.0
2010-02-22,8767238.7119,9017088.7749,8760992.4603,8918398.0,0.0
2010-02-23,8937136.9084,9374374.5263,8935887.6581,9276933.0,0.0
2010-02-24,9117031.0651,9158256.3357,8877174.945,8987109.0,0.0
2010-02-25,9270687.3663,9444333.1747,8924645.0,8924645.0,0.0
2010-02-26,8994602.7868,9080801.0635,8845941.9907,8875924.0,0.0
2010-03-01,8772235.5677,8778481.8192,8457424.4935,8484908.0,0.0
2010-03-02,8407453.4985,8471165.2561,8267537.4819,8419946.0,0.0
2010-03-03,8389963.9964,8483657.7576,8276282.2329,8419946.0,0.0
2010-03-04,8373724.7641,8489905.0421,8285027.9928,8315010.0,0.0
2010-03-05,8107632.2449,8162599.2432,7905253.7513,7946479.0,0.0
2010-03-08,7894013.5044,7909004.5096,7832800.233,7881521.0,0.0
2010-03-09,7950229.0529,7950229.0529,7620426.9677,7745352.0,1.0
2010-03-10,7676644.0427,7690385.7977,7509244.4818,7559214.5,0.0
2010-03-11,7605436.032,7645412.0427,7480510.9987,7485508.0,0.0
2010-03-12,7390564.236,7544222.0117,7390564.236,7474264.0,0.0
2010-03-15,7525486.7539,7669150.5947,7468021.2176,7519240.5,0.0
2010-03-16,7453026.7633,7514240.0237,7348089.7456,7374324.0,0.0
2010-03-17,7349341.0044,7370578.2638,7216920.4458,7339347.0,0.0
2010-03-18,7296870.5078,7345591.2661,7221915.4948,7251897.5,0.0
2010-03-19,7383069.5,7446781.2673,7168198.4418,7383069.5,1.0
2010-03-22,7451778.8462,7483010.1071,7084499.2182,7175694.5,1.0
2010-03-23,7138215.5149,7224413.7772,7008293.4964,7033278.5,1.0
2010-03-24,7068259.4831,7169448.7758,7059514.7294,7108235.5,1.0
2010-03-25,6955826.1837,7175694.2527,6870877.1571,7166949.5,1.0
2010-03-26,7072005.7392,7241903.775,6987056.7213,7123225.0,1.0
2010-03-29,7025783.4989,7081999.7609,6968317.9867,7030780.5,0.0
2010-03-30,6969568.0024,7083249.7892,6902108.4806,6962072.5,0.0
2010-03-31,7037027.2496,7091994.2653,6939585.722,7038276.5,1.0
2010-04-01,6973314.4887,7211921.2725,6835896.9692,7053266.5,1.0
2010-04-05,7019536.7735,7060762.0295,6814659.7436,6858383.5,1.0
2010-04-06,6910852.5237,6939585.28,6742203.7365,6803417.0,1.0
2010-04-07,6852138.755,6954577.2925,6758444.9708,6838397.0,1.0
2010-04-08,6909603.0174,7004546.0348,6775933.2429,6814660.0,0.0
2010-04-09,6789675.781,6842144.2967,6674744.7466,6685988.0,0.0
2010-04-12,6667250.001,6703478.266,6613532.2289,6664751.5,0.0
2010-04-13,6687237.5437,6723465.8061,6551069.247,6559814.0,1.0
2010-04-14,6458624.5403,6483609.5481,6327453.2488,6331201.0,1.0
2010-04-15,6331201.0248,6331201.0248,6230011.7424,6253747.5,1.0
2010-04-16,6312461.7178,6583549.0308,6247500.7027,6451128.5,2.0
2010-04-19,6538575.5093,6709722.7857,6426142.9919,6478611.5,2.0
2010-04-20,6371176.9937,6501099.0344,6334948.7324,6391165.0,1.0
2010-04-21,6252498.2464,6374924.7855,6211272.9832,6263741.5,1.0
2010-04-22,6449879.842,6548570.624,6147561.2439,6166300.0,2.0
2010-04-23,6172547.29,6228763.5677,6072607.2408,6091346.0,1.0
2010-04-26,6075104.9789,6156306.2587,6037627.4652,6132570.5,1.0
2010-04-27,6196281.428,6562311.7624,6121326.4107,6508594.0,2.0
2010-04-28,6402407.7278,6649759.2849,6402407.7278,6498600.0,3.0
2010-04-29,6408653.28,6408653.28,6128821.2459,6162551.0,2.0
2010-04-30,6172545.9049,6539825.5033,6142563.8968,6527333.0,2.0
2010-05-03,6447381.0553,6451128.8063,6158804.2245,6249999.5,1.0
2010-05-04,6483609.8781,6938337.0449,6481111.3772,6815910.5,3.0
2010-05-05,7004546.0176,7139465.0421,6783428.7276,6907104.5,3.0
2010-05-06,7049520.5289,9420597.9636,5940186.0916,7610434.0,5.0
2010-05-07,7782830.1394,8626074.1754,7494253.2916,8108884.5,5.0
2010-05-10,7110732.5389,7155705.5487,6902107.7438,6930840.5,4.0
2010-05-11,7106985.8163,7158205.0848,6647261.6503,6923346.0,3.0
2010-05-12,6827153.3359,6848390.5924,6521086.9924,6546072.0,2.0
2010-05-13,6623525.1922,6885867.7593,6469867.403,6849639.5,2.0
2010-05-14,7005795.4513,7478012.0492,7002047.7006,7240654.5,3.0
2010-05-17,7188184.5,7634166.75,7091992.25,7185686.0,2.0
2010-05-18,6995800.4685,7556713.7561,6950827.4655,7465518.5,2.0
2010-05-19,7547970.228,7891514.0566,7374324.4382,7644162.5,4.0
2010-05-20,8067658.1825,8539874.781,8033928.4255,8391214.0,4.0
2010-05-21,8897160.9122,8990854.6876,8025184.1758,8298770.0,5.0
2010-05-24,8237557.4991,8315011.0273,7952728.3954,8240056.0,3.0
2010-05-25,8859683.4006,9097040.9649,8251298.4858,8303767.0,5.0
2010-05-26,8163849.7049,8602336.5061,7810311.9135,8549868.0,3.0
2010-05-27,7965221.411,8046422.6958,7589197.0,7589197.0,3.0
2010-05-28,7569206.9741,7920246.2809,7537975.7191,7729111.0,3.0
2010-06-01,7799070.4473,7962722.2539,7398061.0586,7951479.0,2.0
2010-06-02,7801569.6825,7960224.5023,7356836.4868,7386818.5,2.0
2010-06-03,7316858.2711,7444281.7889,7126972.2446,7165699.0,3.0
2010-06-04,7615430.4144,7963971.275,7341844.5777,7885268.5,5.0
2010-06-07,7760342.8655,8338745.7545,7709123.6032,8320007.0,3.0
2010-06-08,8268788.2227,8704776.6031,8212571.9559,8359983.5,5.0
2010-06-09,8207576.5638,8648562.0322,7968969.6957,8583601.0,4.0
2010-06-10,8253796.8575,8332499.6276,7816559.2459,7832799.5,4.0
