Date,Open,High,Low,Close,Volume
2020-01-02,11.09,11.36,11.03,11.36,16429241.0
2020-01-03,10.91,11.25,10.91,11.05,18165034.0
2020-01-06,10.78,11.26,10.74,11.26,16096777.0
2020-01-07,11.27,11.35,11.15,11.24,14382528.0
2020-01-08,11.25,11.66,11.19,11.5,20031332.0
2020-01-09,11.78,11.86,11.59,11.79,18297721.0
2020-01-10,11.92,11.93,11.64,11.7,17219477.0
2020-01-13,11.84,12.11,11.79,12.1,14660825.0
2020-01-14,12.07,12.14,11.9,11.96,18339871.0
2020-01-15,11.97,12.14,11.85,11.97,16625357.0
2020-01-16,12.14,12.31,12.07,12.3,15137572.0
2020-01-17,12.46,12.52,12.28,12.49,18050315.0
2020-01-21,12.38,12.56,12.37,12.48,17360264.0
2020-01-22,12.65,12.79,12.52,12.57,17018567.0
2020-01-23,12.54,12.7,12.37,12.68,17948572.0
2020-01-24,12.86,12.9,12.19,12.35,29921811.0
2020-01-27,11.53,11.79,11.27,11.59,24828272.0
2020-01-28,11.83,12.21,11.75,12.13,21482755.0
2020-01-29,12.33,12.37,12.02,12.17,17321388.0
2020-01-30,11.95,12.33,11.83,12.31,25031165.0
2020-01-31,12.46,12.47,11.59,11.71,27548004.0
2020-02-03,11.89,12.33,11.87,12.24,21773134.0
2020-02-04,12.75,13.16,12.63,13.08,17531148.0
2020-02-05,13.57,13.57,12.99,13.23,21826494.0
2020-02-06,13.31,13.57,13.18,13.55,14141635.0
2020-02-07,13.37,13.6,13.27,13.38,19256480.0
2020-02-10,13.25,13.86,13.24,13.86,15406131.0
2020-02-11,14.09,14.23,13.76,13.87,24221281.0
2020-02-12,14.11,14.29,14.01,14.28,15200973.0
2020-02-13,13.97,14.39,13.92,14.22,19410292.0
2020-02-14,14.28,14.37,14.14,14.32,14246224.0
2020-02-18,14.12,14.43,14.07,14.34,16391936.0
2020-02-19,14.6,14.85,14.55,14.76,13203401.0
2020-02-20,14.66,14.75,13.8,14.34,28457219.0
2020-02-21,14.13,14.2,13.34,13.52,25926561.0
2020-02-24,12.04,12.45,11.7,11.96,33709261.0
2020-02-25,12.24,12.36,10.87,10.99,37599177.0
2020-02-26,11.16,11.72,10.89,11.14,42567301.0
2020-02-27,10.29,10.8,9.45,9.48,53139545.0
2020-02-28,8.55,9.68,8.44,9.63,61918517.0
2020-03-02,9.91,10.97,9.5,10.94,45439829.0
2020-03-03,11.05,11.44,9.61,9.91,68515800.0
2020-03-04,10.44,11.14,10.16,11.11,39478443.0
2020-03-05,10.28,10.85,9.89,10.14,48371454.0
2020-03-06,9.09,9.76,8.88,9.61,49189883.0
2020-03-09,7.69,8.64,7.63,7.65,50870623.0
2020-03-10,8.5,8.87,7.63,8.85,57031558.0
2020-03-11,8.22,8.4,7.38,7.71,54355050.0
2020-03-12,6.19,7.19,5.55,5.6,77278242.0
2020-03-13,6.53,7.16,5.63,7.11,69536341.0
2020-03-16,5.06,6.08,4.62,4.66,82286267.0
2020-03-17,4.92,5.64,4.47,5.42,95252578.0
2020-03-18,4.54,5.19,4.09,4.91,106124893.0
2020-03-19,4.86,5.51,4.5,5.03,100601082.0
2020-03-20,5.37,5.48,4.39,4.44,97781900.0
2020-03-23,4.49,4.75,4.03,4.45,102509232.0
2020-03-24,5.15,5.47,5.02,5.45,103727959.0
2020-03-25,5.53,5.98,5.14,5.32,104359259.0
2020-03-26,5.48,6.25,5.46,6.19,81154989.0
2020-03-27,5.7,6.04,5.47,5.54,69642943.0
2020-03-30,5.7,6.17,5.63,6.13,52077659.0
2020-03-31,6.08,6.44,5.86,5.96,91487987.0
2020-04-01,5.45,5.72,5.08,5.22,66948739.0
2020-04-02,5.15,5.54,5.1,5.53,58441365.0
2020-04-03,5.48,5.62,5.11,5.3,69310499.0
2020-04-06,5.89,6.52,5.8,6.41,64827148.0
2020-04-07,6.99,7.04,6.38,6.4,82251196.0
2020-04-08,6.59,6.88,6.41,6.81,64772516.0
2020-04-09,6.99,7.09,6.66,6.83,69162216.0
2020-04-13,6.75,7.11,6.63,7.07,53370240.0
2020-04-14,7.51,8.05,7.42,7.99,61256211.0
2020-04-15,7.61,7.92,7.46,7.72,53960955.0
2020-04-16,7.98,8.26,7.74,8.14,70365016.0
2020-04-17,8.46,8.51,8.0,8.34,57945562.0
2020-04-20,8.15,8.44,8.06,8.07,48374792.0
2020-04-21,7.83,7.89,7.04,7.18,64936242.0
2020-04-22,7.63,7.96,7.54,7.81,34486500.0
2020-04-23,7.9,8.2,7.72,7.76,53108524.0
2020-04-24,7.82,8.18,7.65,8.14,39795886.0
2020-04-27,8.4,8.45,8.21,8.3,38092723.0
2020-04-28,8.53,8.53,7.83,7.85,48280905.0
2020-04-29,8.38,8.8,8.26,8.66,43262966.0
2020-04-30,8.8,8.81,8.49,8.72,47568133.0
2020-05-01,8.16,8.41,7.81,7.94,43280678.0
2020-05-04,7.82,8.24,7.76,8.22,25094451.0
2020-05-05,8.47,8.78,8.4,8.48,36089325.0
2020-05-06,8.69,8.89,8.55,8.65,38985111.0
2020-05-07,8.98,9.09,8.82,8.99,36186236.0
2020-05-08,9.19,9.37,9.07,9.35,32854605.0
2020-05-11,9.18,9.74,9.16,9.58,33672968.0
2020-05-12,9.68,9.77,9.0,9.01,42420413.0
2020-05-13,9.07,9.31,8.35,8.67,61389904.0
2020-05-14,8.51,8.96,8.26,8.96,50374897.0
2020-05-15,8.59,9.14,8.54,9.11,44725837.0
2020-05-18,9.5,9.78,9.4,9.64,37203870.0
2020-05-19,9.67,9.95,9.55,9.57,32678816.0
2020-05-20,9.9,10.19,9.9,10.13,35676985.0
2020-05-21,10.15,10.24,9.74,9.81,40336688.0
2020-05-22,9.76,9.94,9.63,9.9,26208116.0
2020-05-26,10.38,10.42,9.8,9.86,30650276.0
2020-05-27,9.76,10.01,9.17,10.0,43411371.0
2020-05-28,9.82,10.4,9.82,9.94,38153137.0
2020-05-29,10.01,10.42,9.79,10.35,44868411.0
2020-06-01,10.26,10.53,10.2,10.47,26395290.0
2020-06-02,10.53,10.69,10.21,10.68,31339270.0
2020-06-03,10.77,10.94,10.65,10.83,26879177.0
2020-06-04,10.78,10.99,10.42,10.61,33301050.0
2020-06-05,10.74,11.32,10.69,11.24,35174293.0
2020-06-08,11.2,11.51,10.99,11.49,27318055.0
2020-06-09,11.36,11.87,11.34,11.74,26647437.0
2020-06-10,12.0,12.4,11.92,12.17,37863884.0
2020-06-11,11.57,11.78,10.35,10.38,47916499.0
2020-06-12,11.04,11.21,10.05,10.6,51484643.0
2020-06-15,10.14,11.09,10.01,10.97,49773106.0
2020-06-16,11.67,11.77,11.04,11.55,47902223.0
2020-06-17,11.77,11.93,11.55,11.67,32357272.0
2020-06-18,11.62,11.8,11.51,11.76,26598237.0
2020-06-19,12.12,12.15,11.5,11.74,36243750.0
2020-06-22,11.74,12.19,11.69,12.16,27516652.0
2020-06-23,12.42,12.83,12.33,12.48,29362285.0
2020-06-24,12.36,12.56,11.48,11.74,49102670.0
2020-06-25,11.74,12.09,11.34,12.05,37712913.0
2020-06-26,12.0,12.04,11.11,11.19,46992639.0
2020-06-29,11.15,11.55,10.79,11.54,32451160.0
2020-06-30,11.54,12.31,11.52,12.21,31423591.0
2020-07-01,12.23,12.81,12.16,12.64,31517221.0
2020-07-02,13.04,13.23,12.84,12.91,28519023.0
2020-07-06,13.41,13.95,13.41,13.86,26497955.0
2020-07-07,13.82,14.27,13.53,13.59,30762393.0
2020-07-08,13.8,14.12,13.56,14.11,29991418.0
2020-07-09,14.43,14.58,13.73,14.46,39699546.0
2020-07-10,14.43,14.81,13.99,14.77,30348665.0
2020-07-13,15.26,15.74,13.71,13.86,46823054.0
2020-07-14,13.45,14.22,12.92,14.15,57468852.0
2020-07-15,14.36,14.53,13.67,14.22,45942951.0
2020-07-16,13.76,14.05,13.37,13.92,37496452.0
2020-07-17,14.02,14.13,13.63,13.98,28875428.0
2020-07-20,14.1,15.28,13.89,15.17,31452683.0
2020-07-21,15.45,15.46,14.55,14.69,36960128.0
2020-07-22,14.77,15.02,14.46,14.86,28473633.0
2020-07-23,14.79,14.91,13.45,13.69,42081071.0
2020-07-24,13.06,13.52,12.63,13.29,44652330.0
2020-07-27,13.57,14.07,13.44,14.0,33452963.0
2020-07-28,13.89,13.96,13.42,13.47,29837821.0
2020-07-29,13.71,14.08,13.64,13.93,24285066.0
2020-07-30,13.61,14.25,13.42,14.16,37775023.0
2020-07-31,14.92,14.94,14.11,14.92,45000596.0
2020-08-03,15.28,15.64,15.26,15.48,27233502.0
2020-08-04,15.42,15.7,15.29,15.68,26375983.0
2020-08-05,15.77,15.88,15.61,15.81,20370400.0
2020-08-06,15.76,16.49,15.65,16.41,24008004.0
2020-08-07,16.33,16.48,15.46,15.87,37088492.0
2020-08-10,15.91,15.95,15.02,15.66,31788879.0
2020-08-11,15.45,15.68,14.67,14.77,38784151.0
2020-08-12,15.14,16.05,15.14,15.88,27730532.0
